"Average",,,,,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
87,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.134385,0.237098,-0.0184917,-8.22601e-05,0.000389557,-6.81303e-06,0.000451154,-0.000143857,-0.0774626,7.96184e-05,8.1709e-05,0.00036497,0.00040238,0.0120714,30.012,30
88,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.135224,0.239719,-0.017847,-9.0556e-05,0.000389659,-7.76145e-06,0.000451335,-0.000152232,-0.105405,7.9657e-05,8.17541e-05,0.000365163,0.000406094,0.0121828,30.0122,30
89,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.136213,0.242088,-0.0160299,-9.91802e-05,0.000393755,-7.93552e-06,0.000452232,-0.000157658,-0.0874966,7.97491e-05,8.18436e-05,0.000365579,0.000400428,0.0120128,30.012,30
90,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.137199,0.245037,-0.0164614,-9.66664e-05,0.000395539,-5.72227e-06,0.000456804,-0.000157932,-0.0621026,7.98181e-05,8.19153e-05,0.00036591,0.000411263,0.0123379,30.0123,30
91,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.138471,0.247911,-0.0169009,-9.86793e-05,0.000408717,-1.03833e-05,0.000468529,-0.000158491,-0.0861402,7.9798e-05,8.18922e-05,0.0003658,0.000423676,0.0127103,30.0127,30
92,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.139104,0.250483,-0.0141695,-0.000116486,0.000404433,-5.51878e-06,0.000461024,-0.000173077,-0.0534625,7.96933e-05,8.17879e-05,0.000365324,0.000417069,0.0125121,30.0125,30
93,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.140593,0.253108,-0.01563,-0.000103573,0.000419235,-7.65647e-06,0.000477302,-0.00016164,-0.0821097,7.95871e-05,8.16822e-05,0.00036485,0.000436736,0.0131021,30.0131,30
94,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.141758,0.255903,-0.0161756,-0.000101606,0.000425922,-9.23169e-06,0.000485743,-0.000161427,-0.0509424,7.9563e-05,8.16613e-05,0.000364744,0.000447667,0.01343,30.0134,30
95,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.142682,0.258761,-0.0168777,-0.000105594,0.000440594,-8.01816e-06,0.000497654,-0.000162654,-0.0816989,7.9561e-05,8.16591e-05,0.000364739,0.000460595,0.0138178,30.0138,30
96,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.143781,0.261418,-0.0160413,-0.000108478,0.000443144,-9.76106e-06,0.000500767,-0.0001661,-0.0766486,7.9618e-05,8.17174e-05,0.000365007,0.000464603,0.0139381,30.0139,30
97,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.144801,0.264057,-0.0150143,-0.00010799,0.000449429,-5.63635e-06,0.000506747,-0.000165308,-0.0453739,7.96817e-05,8.17773e-05,0.000365287,0.000468288,0.0140486,30.014,30
98,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.145971,0.26707,-0.0149917,-0.000114878,0.000472014,-1.214e-05,0.000525078,-0.000167942,-0.10467,7.96939e-05,8.17887e-05,0.000365355,0.000491803,0.0147541,30.0147,30
99,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.147056,0.269691,-0.0151255,-0.000116247,0.000463872,-1.03401e-05,0.000519686,-0.00017206,-0.0743963,7.97191e-05,8.1804e-05,0.000365437,0.000485336,0.0145601,30.0145,30
100,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.14784,0.272592,-0.0150455,-0.00011337,0.000472961,-8.86371e-06,0.000527529,-0.000167938,-0.0533344,7.97399e-05,8.18234e-05,0.000365531,0.000492319,0.0147695,30.0147,30
101,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.148901,0.275385,-0.0143543,-0.000118728,0.00047839,-7.82492e-06,0.000533179,-0.000173517,-0.0660158,7.97157e-05,8.18049e-05,0.000365434,0.00049864,0.0149592,30.0149,30
102,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.149892,0.278325,-0.0145778,-0.000118467,0.000485751,-8.44841e-06,0.000540137,-0.000172853,-0.0734411,7.97308e-05,8.18207e-05,0.000365507,0.000511232,0.0153369,30.0153,30
103,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.150934,0.281644,-0.0146109,-0.000126003,0.000488753,-6.70125e-06,0.000541282,-0.000178532,-0.0521958,7.98743e-05,8.19665e-05,0.00036617,0.000511702,0.0153511,30.0153,30
104,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.151766,0.284159,-0.0145274,-0.0001226,0.000502895,-9.11373e-06,0.000555652,-0.000175357,-0.0462991,7.99033e-05,8.19934e-05,0.000366297,0.000528592,0.0158577,30.0158,30
105,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.152849,0.28694,-0.0142278,-0.000126404,0.000508909,-8.7688e-06,0.000560381,-0.000177876,-0.0383591,7.99328e-05,8.20174e-05,0.000366426,0.000534963,0.0160489,30.016,30
106,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.153766,0.289943,-0.0143193,-0.000127464,0.000520142,-9.33739e-06,0.00057109,-0.000178411,-0.0461534,7.99057e-05,8.19925e-05,0.00036631,0.000544436,0.0163331,30.0163,30
107,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.154814,0.292706,-0.0139426,-0.000128273,0.000526339,-8.79751e-06,0.00057804,-0.000179973,-0.0416403,7.98275e-05,8.19114e-05,0.00036594,0.000551939,0.0165582,30.0165,30
108,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.155718,0.295443,-0.0136245,-0.000131292,0.000531488,-9.98911e-06,0.000583261,-0.000183066,-0.0795858,7.97977e-05,8.18863e-05,0.000365819,0.000559291,0.0167787,30.0167,30
109,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.156831,0.298515,-0.0141117,-0.000131543,0.000541028,-9.75716e-06,0.000591911,-0.000182426,-0.0670257,7.97947e-05,8.18889e-05,0.000365828,0.00057085,0.0171255,30.0171,30
110,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.15774,0.301435,-0.0136617,-0.000131904,0.000546899,-1.09244e-05,0.000597924,-0.000182929,-0.108323,7.98038e-05,8.18976e-05,0.000365874,0.000576652,0.0172995,30.0173,30
111,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.158594,0.304145,-0.0136522,-0.000136366,0.00055261,-1.21517e-05,0.000603607,-0.000187362,-0.0942333,7.985e-05,8.19434e-05,0.000366082,0.000586284,0.0175885,30.0176,30
112,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.159339,0.307013,-0.0142818,-0.00013416,0.000564552,-1.07386e-05,0.000613923,-0.000183531,-0.0840004,7.97948e-05,8.1889e-05,0.000365848,0.000594341,0.0178302,30.0178,30
113,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.160368,0.309958,-0.0133787,-0.000141181,0.000568916,-1.17792e-05,0.000618014,-0.00019028,-0.0819612,7.97587e-05,8.18496e-05,0.000365659,0.000600123,0.0180037,30.018,30
114,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.161257,0.312785,-0.0133148,-0.000143509,0.000576661,-1.15909e-05,0.000625865,-0.000192714,-0.104596,7.96967e-05,8.17837e-05,0.000365363,0.000611553,0.0183466,30.0183,30
115,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.162174,0.315684,-0.013677,-0.000141878,0.000589753,-1.10519e-05,0.000637379,-0.000189504,-0.0792342,7.96502e-05,8.17413e-05,0.00036516,0.000626468,0.018794,30.0188,30
116,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.162876,0.318556,-0.0126305,-0.000141407,0.000595087,-1.17861e-05,0.000642235,-0.000188555,-0.0869678,7.96721e-05,8.1757e-05,0.00036525,0.000629498,0.0188849,30.0189,30
117,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.163832,0.321346,-0.0133389,-0.000140844,0.000607253,-1.27549e-05,0.000653952,-0.000187544,-0.0900837,7.97251e-05,8.18173e-05,0.000365505,0.000640796,0.0192239,30.0192,30
118,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.164769,0.324318,-0.0130254,-0.000147916,0.000610831,-1.15758e-05,0.000657563,-0.000194648,-0.0834067,7.9798e-05,8.18852e-05,0.000365849,0.000647439,0.0194231,30.0194,30
119,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.165566,0.327183,-0.0129361,-0.000149017,0.000617482,-1.28118e-05,0.00066446,-0.000195995,-0.102483,7.97912e-05,8.18792e-05,0.000365812,0.000656673,0.0197002,30.0197,30
120,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.166334,0.330005,-0.0125054,-0.000151887,0.000625761,-1.09893e-05,0.000671535,-0.000197661,-0.0915411,7.97924e-05,8.18766e-05,0.000365812,0.000661401,0.019842,30.0198,30
121,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.167517,0.332755,-0.0147134,-0.000157194,0.000634108,-1.33996e-05,0.000679942,-0.000203028,-0.103145,7.98147e-05,8.18971e-05,0.000365909,0.000677856,0.0203357,30.0203,30
122,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.1681,0.335994,-0.0127472,-0.000152556,0.000643563,-1.02499e-05,0.000688876,-0.000197868,-0.0631883,7.98047e-05,8.18894e-05,0.000365864,0.000682782,0.0204834,30.0205,30
123,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.168331,0.33869,-0.00951633,-0.000163392,0.000642271,-2.44368e-05,0.000687175,-0.000208296,-0.166463,7.9836e-05,8.19285e-05,0.000366025,0.000687259,0.0206178,30.0206,30
124,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.169199,0.34116,-0.00940015,-0.000147605,0.000636591,-1.16305e-05,0.000685528,-0.000196541,-0.100687,7.98482e-05,8.19368e-05,0.00036608,0.000681698,0.0204509,30.0204,30
125,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.170213,0.344671,-0.00981972,-0.000175005,0.000662864,-2.25888e-06,0.000705095,-0.000217235,-0.0473267,7.99039e-05,8.19897e-05,0.000366327,0.000704508,0.0211352,30.0211,30
126,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.171006,0.347189,-0.0103638,-0.000190347,0.00065945,-1.13716e-05,0.000702117,-0.000233013,-0.0818796,7.99065e-05,8.19963e-05,0.000366353,0.000702956,0.0210886,30.0211,30
127,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.171717,0.350263,-0.0109586,-0.000170548,0.000675792,-1.24522e-05,0.000718749,-0.000213505,-0.0957733,7.9825e-05,8.19137e-05,0.000365974,0.000719097,0.0215729,30.0215,30
128,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.172701,0.353064,-0.0107828,-0.000169663,0.000685716,-1.28691e-05,0.000729537,-0.000213484,-0.0941835,7.97921e-05,8.18836e-05,0.000365843,0.000727893,0.0218368,30.0218,30
129,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.173712,0.355924,-0.0121771,-0.000160311,0.000701659,-1.82566e-05,0.000745658,-0.00020431,-0.133597,7.97044e-05,8.1798e-05,0.000365443,0.000745319,0.0223596,30.0223,30
130,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.17411,0.358647,-0.0100812,-0.000172344,0.000702272,-1.39386e-05,0.000746036,-0.000216108,-0.10616,7.9736e-05,8.18315e-05,0.000365587,0.000752635,0.022579,30.0225,30
131,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.174817,0.361534,-0.00999385,-0.000177127,0.000709748,-1.21959e-05,0.000750543,-0.000217922,-0.113545,7.96972e-05,8.17968e-05,0.000365434,0.000756933,0.022708,30.0227,30
132,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.175521,0.364496,-0.00935112,-0.000179813,0.000716305,-1.28104e-05,0.000758175,-0.000221683,-0.10803,7.97382e-05,8.18319e-05,0.000365602,0.000766963,0.0230089,30.023,30
133,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.1763,0.367306,-0.00938027,-0.000183582,0.000725883,-1.33038e-05,0.000766494,-0.000224193,-0.117534,7.97042e-05,8.17993e-05,0.000365463,0.000781807,0.0234542,30.0234,30
134,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.17722,0.370153,-0.00940705,-0.000185962,0.000732436,-1.31449e-05,0.000773973,-0.000227499,-0.109432,7.96674e-05,8.17586e-05,0.000365282,0.000786944,0.0236083,30.0236,30
135,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.177984,0.373071,-0.00917407,-0.000193447,0.000733218,-1.64929e-05,0.000775263,-0.000235492,-0.128969,7.95892e-05,8.1686e-05,0.000364942,0.000788613,0.0236584,30.0236,30
136,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.178872,0.375862,-0.00936703,-0.000188746,0.000747278,-1.26198e-05,0.000787993,-0.000229461,-0.0920564,7.95332e-05,8.16277e-05,0.000364677,0.000805418,0.0241625,30.0241,30
137,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.179426,0.378803,-0.00896315,-0.000198504,0.000751103,-1.22497e-05,0.000791049,-0.00023845,-0.0980748,7.96039e-05,8.1694e-05,0.000364985,0.000814309,0.0244292,30.0244,30
138,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.180078,0.381701,-0.00922143,-0.000190757,0.000767037,-1.1987e-05,0.000806858,-0.000230578,-0.0975916,7.96502e-05,8.17403e-05,0.0003652,0.000828514,0.0248554,30.0248,30
139,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.180831,0.384501,-0.00903078,-0.000194882,0.000771851,-1.32982e-05,0.000811577,-0.000234608,-0.086015,7.96391e-05,8.17327e-05,0.000365173,0.00083216,0.0249648,30.0249,30
140,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.181495,0.387551,-0.00917775,-0.000196307,0.000785924,-1.47937e-05,0.000825387,-0.00023577,-0.0970435,7.96219e-05,8.17077e-05,0.000365075,0.000852207,0.0255662,30.0255,30
141,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.182298,0.390213,-0.00887159,-0.000199595,0.000791055,-1.34885e-05,0.00083019,-0.000238731,-0.105822,7.96566e-05,8.17407e-05,0.000365204,0.000861112,0.0258333,30.0258,30
142,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.183118,0.393038,-0.00832889,-0.000200295,0.000797788,-1.24109e-05,0.000836241,-0.000238748,-0.0973255,7.96598e-05,8.17474e-05,0.000365236,0.000865681,0.0259704,30.0259,30
143,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.183779,0.395974,-0.00835717,-0.000205563,0.000804454,-1.31562e-05,0.000843359,-0.000244468,-0.0964662,7.96679e-05,8.17576e-05,0.000365288,0.000875369,0.026261,30.0262,30
144,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.184396,0.398812,-0.00870149,-0.000206728,0.000818977,-1.71034e-05,0.000857028,-0.000244779,-0.11217,7.97286e-05,8.18146e-05,0.000365558,0.000889433,0.026683,30.0267,30
145,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.184932,0.401662,-0.00830042,-0.000213248,0.000824982,-1.25244e-05,0.000862731,-0.000250997,-0.0809458,7.97657e-05,8.18503e-05,0.000365728,0.000893633,0.026809,30.0268,30
146,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.185688,0.404678,-0.00835607,-0.000208763,0.000833339,-1.31472e-05,0.000871672,-0.000247097,-0.09222,7.97953e-05,8.18839e-05,0.000365872,0.000906442,0.0271932,30.0272,30
147,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.18696,0.407045,-0.0066304,-0.000208731,0.000824171,-1.13583e-05,0.000863182,-0.000247742,-0.084457,7.9854e-05,8.19407e-05,0.000366135,0.000893638,0.0268091,30.0268,30
148,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.187283,0.410407,-0.0078995,-0.000215961,0.000851364,-1.34609e-05,0.000889263,-0.000253859,-0.0827067,7.98089e-05,8.19028e-05,0.000365952,0.000928471,0.0278541,30.0278,30
149,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.187733,0.413134,-0.00748917,-0.000221035,0.000859724,-1.48062e-05,0.000896405,-0.000257716,-0.0874001,7.97767e-05,8.18623e-05,0.000365784,0.000938258,0.0281477,30.0281,30
150,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.188484,0.416022,-0.00770176,-0.000224322,0.000866618,-1.5671e-05,0.000903108,-0.000260812,-0.104618,7.97978e-05,8.18863e-05,0.000365887,0.000941216,0.0282365,30.0282,30
151,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.189041,0.418997,-0.00742563,-0.00022448,0.000874564,-1.43409e-05,0.000911,-0.000260915,-0.108949,7.98247e-05,8.19148e-05,0.000366021,0.000952173,0.0285652,30.0285,30
152,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.189649,0.421941,-0.00758322,-0.000229261,0.000884151,-1.35353e-05,0.00092009,-0.0002652,-0.0793002,7.98213e-05,8.19053e-05,0.000365996,0.000961505,0.0288451,30.0288,30
153,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.190186,0.424851,-0.0066106,-0.00023999,0.000885042,-1.8113e-05,0.000921906,-0.000276854,-0.118087,7.98273e-05,8.19114e-05,0.000366019,0.000965688,0.0289706,30.0289,30
154,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.191092,0.427705,-0.00668185,-0.000232117,0.00090213,-1.53912e-05,0.000938916,-0.000268904,-0.0950095,7.98348e-05,8.19216e-05,0.000366064,0.000982014,0.0294604,30.0294,30
155,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.191574,0.430445,-0.0067348,-0.000235107,0.000909461,-1.46257e-05,0.00094627,-0.000271916,-0.0810103,7.97985e-05,8.18892e-05,0.000365909,0.000992622,0.0297786,30.0297,30
156,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.192526,0.433577,-0.0073562,-0.000234529,0.000926633,-1.4713e-05,0.000963538,-0.000271433,-0.0941876,7.97303e-05,8.18214e-05,0.000365601,0.00101237,0.0303711,30.0303,30
157,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.193295,0.436132,-0.00676592,-0.000236673,0.000930045,-1.62728e-05,0.00096738,-0.000274008,-0.0948928,7.97767e-05,8.18654e-05,0.000365813,0.00101745,0.0305236,30.0305,30
158,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.19364,0.439103,-0.00578876,-0.000241455,0.000938765,-1.55825e-05,0.000973943,-0.000276632,-0.0847663,7.97794e-05,8.18666e-05,0.000365809,0.00102739,0.0308216,30.0308,30
159,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.194245,0.441666,-0.0062537,-0.000244763,0.000941454,-1.36008e-05,0.000977156,-0.000280464,-0.0815811,7.98044e-05,8.1892e-05,0.000365936,0.00102795,0.0308384,30.0308,30
160,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.195151,0.444995,-0.00653518,-0.000243756,0.000970648,-1.46343e-05,0.00100666,-0.000279768,-0.0892459,7.98281e-05,8.19185e-05,0.000366059,0.0010647,0.0319409,30.0319,30
161,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.195564,0.447681,-0.00606323,-0.000245348,0.000974,-1.88033e-05,0.00100925,-0.000280595,-0.122274,7.98005e-05,8.18889e-05,0.000365925,0.0010678,0.0320339,30.032,30
162,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.196263,0.450162,-0.00461632,-0.000252689,0.000977264,-1.67622e-05,0.00101281,-0.000288231,-0.08994,7.97937e-05,8.18803e-05,0.000365891,0.0010749,0.0322469,30.0322,30
163,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.196827,0.453366,-0.00563587,-0.000253202,0.000989274,-1.80713e-05,0.00102408,-0.000288012,-0.0943461,7.97992e-05,8.18854e-05,0.000365913,0.00108561,0.0325684,30.0325,30
164,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.197417,0.456374,-0.00494667,-0.000256408,0.000994412,-1.32119e-05,0.00102967,-0.000291668,-0.0833434,7.97996e-05,8.18805e-05,0.00036591,0.00109858,0.0329573,30.0329,30
165,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.198225,0.4589,-0.005485,-0.00025991,0.00100399,-1.67287e-05,0.00103959,-0.000295509,-0.0962677,7.98043e-05,8.18868e-05,0.000365934,0.00110421,0.0331263,30.0331,30
166,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.198406,0.46177,-0.00406809,-0.00026496,0.00100961,-1.30578e-05,0.00104458,-0.000299934,-0.0754333,7.98552e-05,8.19345e-05,0.000366151,0.00111301,0.0333902,30.0334,30
167,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.199076,0.464615,-0.00499841,-0.00026227,0.00102516,-1.71025e-05,0.00106117,-0.000298277,-0.0871375,7.9912e-05,8.19963e-05,0.000366426,0.00113487,0.0340461,30.034,30
168,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.199544,0.467491,-0.00431311,-0.000272649,0.00102738,-1.75847e-05,0.00106241,-0.000307688,-0.106579,7.98265e-05,8.19091e-05,0.000366038,0.00113457,0.0340371,30.034,30
169,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.200369,0.470355,-0.00402784,-0.000272991,0.00103353,-1.84597e-05,0.00106855,-0.000308014,-0.110743,7.99164e-05,8.20012e-05,0.000366459,0.00114289,0.0342868,30.0343,30
170,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.20091,0.473117,-0.00457632,-0.000275596,0.00104373,-2.13584e-05,0.00107884,-0.00031071,-0.10484,7.99145e-05,8.19981e-05,0.000366438,0.00115551,0.0346653,30.0346,30
171,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.201237,0.476019,-0.00403343,-0.000277866,0.00105818,-1.81368e-05,0.00109261,-0.000312298,-0.102755,7.99406e-05,8.2019e-05,0.00036655,0.00116735,0.0350204,30.035,30
172,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.201954,0.478659,-0.00402821,-0.000278571,0.00107759,-1.68486e-05,0.00111138,-0.000312364,-0.0862656,7.9934e-05,8.20115e-05,0.000366519,0.00118565,0.0355696,30.0355,30
173,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.202594,0.481555,-0.00264985,-0.000280498,0.00107647,-1.71896e-05,0.00111109,-0.000315118,-0.0902561,7.99474e-05,8.20277e-05,0.000366593,0.00119001,0.0357004,30.0357,30
174,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.203391,0.484723,-0.00361603,-0.000279585,0.00108896,-1.85966e-05,0.00112399,-0.000314612,-0.0874285,7.99904e-05,8.20727e-05,0.000366792,0.00120815,0.0362445,30.0362,30
175,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.204,0.487481,-0.00361527,-0.00028282,0.00110725,-1.8732e-05,0.00114165,-0.000317221,-0.107843,7.99325e-05,8.20194e-05,0.000366534,0.00122622,0.0367866,30.0368,30
176,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.204426,0.490356,-0.00216694,-0.000292011,0.00110335,-1.85419e-05,0.00113907,-0.000327733,-0.0994376,7.99828e-05,8.20686e-05,0.000366763,0.0012226,0.036678,30.0366,30
177,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.205072,0.493132,-0.00221804,-0.000293693,0.00111445,-1.88112e-05,0.00114987,-0.000329115,-0.098201,7.99674e-05,8.20491e-05,0.00036669,0.00123455,0.0370364,30.037,30
178,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.205672,0.496041,-0.0033065,-0.000296213,0.00112742,-1.86768e-05,0.00116304,-0.000331829,-0.0901107,7.99402e-05,8.20187e-05,0.00036656,0.00125119,0.0375356,30.0375,30
179,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.206105,0.498796,-0.0019927,-0.000299754,0.00113246,-1.76317e-05,0.00116711,-0.000334397,-0.0934132,7.99743e-05,8.20526e-05,0.000366705,0.00125948,0.0377844,30.0378,30
180,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.206723,0.501681,-0.00138603,-0.000304464,0.00114088,-1.87343e-05,0.00117606,-0.000339639,-0.10882,7.99248e-05,8.20052e-05,0.000366484,0.00126489,0.0379468,30.0379,30
181,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.207289,0.504669,-0.00203807,-0.000304308,0.00115437,-2.00807e-05,0.00118964,-0.000339579,-0.110909,7.99127e-05,8.1995e-05,0.000366436,0.00128169,0.0384507,30.0384,30
182,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.207965,0.507394,-0.00319252,-0.000293943,0.00116743,-2.15593e-05,0.00120293,-0.000329445,-0.102575,7.98651e-05,8.19473e-05,0.000366224,0.0012999,0.038997,30.039,30
183,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.208205,0.510611,-0.00119332,-0.00031185,0.00116768,-1.55159e-05,0.00120288,-0.000347057,-0.0838673,7.98429e-05,8.1925e-05,0.000366124,0.00129952,0.0389854,30.039,30
184,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.2087,0.5134,-0.000648557,-0.00031492,0.00118369,-2.16608e-05,0.0012182,-0.00034943,-0.109832,7.98367e-05,8.19169e-05,0.000366093,0.00131278,0.0393835,30.0394,30
185,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.209298,0.516247,-0.00183897,-0.000314462,0.00119789,-1.77663e-05,0.00123301,-0.000349585,-0.0905049,7.97914e-05,8.18735e-05,0.000365894,0.00132877,0.0398631,30.0398,30
186,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.209595,0.519114,-0.00217076,-0.000320281,0.00120392,-2.26435e-05,0.00123872,-0.000355081,-0.100635,7.97884e-05,8.187e-05,0.000365888,0.00134351,0.0403054,30.0403,30
187,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.210121,0.52192,-0.000560698,-0.000324851,0.00121296,-2.00664e-05,0.00124787,-0.00035976,-0.094101,7.97663e-05,8.18459e-05,0.000365774,0.00135796,0.0407387,30.0407,30
188,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.210722,0.52474,-0.000676499,-0.000324476,0.00122168,-2.06118e-05,0.00125717,-0.000359962,-0.108568,7.97582e-05,8.18445e-05,0.00036576,0.00136628,0.0409885,30.041,30
189,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.211201,0.527656,-0.000150428,-0.000336828,0.00122998,-1.93387e-05,0.00126458,-0.000371425,-0.0883022,7.97719e-05,8.18575e-05,0.000365809,0.00137563,0.041269,30.0412,30
190,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.211707,0.530546,-5.05006e-05,-0.000333858,0.00124323,-2.12554e-05,0.00127871,-0.000369337,-0.109832,7.97727e-05,8.18582e-05,0.000365823,0.00139508,0.0418522,30.0418,30
191,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.212388,0.533397,0.000254842,-0.000332901,0.00124983,-2.04244e-05,0.0012852,-0.000368274,-0.101789,7.97476e-05,8.18333e-05,0.000365714,0.00140365,0.0421096,30.0421,30
192,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.213099,0.53624,-0.000170211,-0.000339312,0.00126388,-2.1081e-05,0.00129974,-0.00037518,-0.0907784,7.97633e-05,8.18459e-05,0.000365778,0.00141418,0.0424254,30.0424,30
193,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.213634,0.538939,0.000673792,-0.000344214,0.00127076,-2.12165e-05,0.00130666,-0.00038011,-0.0993394,7.9779e-05,8.18603e-05,0.000365838,0.001429,0.0428701,30.0428,30
