"Average",,,,,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
10,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.00982922,0.0141834,-0.00272648,-1.68551e-06,1.3539e-05,3.31016e-06,4.34092e-05,-3.15557e-05,0.0720703,7.92922e-05,8.13537e-05,0.000363197,8.12683e-06,0.000243805,30.0002,30
11,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0121454,0.0173356,-0.00399699,-2.4184e-06,2.02966e-05,1.36374e-07,4.8586e-05,-3.07078e-05,0.000833645,7.94887e-05,8.15633e-05,0.000364118,1.69927e-05,0.00050978,30.0005,30
12,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0145593,0.0205441,-0.00427164,-2.31333e-06,2.34563e-05,1.1923e-06,5.36405e-05,-3.24975e-05,-0.0347029,7.95175e-05,8.16109e-05,0.000364292,1.6113e-05,0.000483391,30.0005,30
13,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0166611,0.0242334,-0.00473824,-8.0121e-06,2.93543e-05,2.36769e-06,5.70324e-05,-3.56901e-05,0.0758319,7.98523e-05,8.19323e-05,0.0003658,2.44253e-05,0.000732758,30.0007,30
14,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.018976,0.0276586,-0.00534233,-8.4542e-06,3.20215e-05,-8.11815e-07,6.08721e-05,-3.73049e-05,-0.0597395,8.01393e-05,8.22046e-05,0.000367067,3.15981e-05,0.000947943,30.0009,30
15,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0208524,0.0310227,-0.00471731,-1.03888e-05,3.01698e-05,2.65158e-06,6.19976e-05,-4.22166e-05,0.0183936,8.00834e-05,8.21307e-05,0.000366782,2.71179e-05,0.000813535,30.0008,30
16,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0228569,0.034685,-0.00588286,-3.15355e-06,4.77397e-05,-1.26053e-09,7.76161e-05,-3.30299e-05,-0.0604472,7.95234e-05,8.15751e-05,0.000364252,4.17912e-05,0.00125374,30.0012,30
17,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0249574,0.0379473,-0.00604243,-1.05745e-05,3.55708e-05,2.01743e-06,6.97542e-05,-4.4758e-05,-0.00310967,7.93905e-05,8.14539e-05,0.000363664,2.94404e-05,0.000883212,30.0009,30
18,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0270243,0.0416384,-0.00749229,4.17489e-06,5.21668e-05,-3.82761e-06,8.9796e-05,-3.34543e-05,-0.158976,7.96794e-05,8.17456e-05,0.000364971,4.9677e-05,0.00149031,30.0015,30
19,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0286794,0.044856,-0.00641468,-8.24379e-06,4.77276e-05,5.75577e-06,8.39995e-05,-4.45157e-05,0.0760101,8.02345e-05,8.23052e-05,0.000367511,4.50464e-05,0.00135139,30.0013,30
